"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M1 [Ante Natal Care Services ANC]","1.7.2","Number of Pregnant women having severe anaemia (Hb<7) treated at institution","TOTAL","154","277","310","33","0","140","112","-28","0","328","367","39","0","468","67","-401","0","364","84","-280","0","395","108","-287","0","101",NA,"-101","0","133","322","189","0","80","104","24","0","103","320","217","0","187","131","-56","0","303","173","-130","0","2879","2098"
"M1 [Ante Natal Care Services ANC]","1.8","Number of pregnancy test kits used at SC level","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M2 [Deliveries]","2.1.1.a","Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM)","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0","1",NA,"-1","0","2",NA,"-2","0","1",NA,"-1","0",NA,NA,"0","0",NA,NA,"0","0","2",NA,"-2","0","1",NA,"-1","0","1",NA,"-1","0","9",NA
"M2 [Deliveries]","2.1.1.b","Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.)","TOTAL","154","7","4","-3","0",NA,"1","1","0",NA,"2","2","0",NA,"2","2","0","2","2","0","0","1","1","0","0",NA,NA,"0","0",NA,NA,"0","0","2","4","2","0","1",NA,"-1","0","1","2","1","0",NA,NA,"0","0","14","18"
"M2 [Deliveries]","2.1.1.c","Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b)","TOTAL","154","7","4","-3","0",NA,"1","1","0",NA,"2","2","0","1","2","1","0","3","2","-1","0","3","1","-2","0","1",NA,"-1","0",NA,NA,"0","0","2","4","2","0","3",NA,"-3","0","2","2","0","0","1",NA,"-1","0","23","18"
"M2 [Deliveries]","2.1.2","Number of newborns visited within 24 hours of delivery for deliveries conducted at home","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0","2","2","0","0","2","1","-1","0","1",NA,"-1","0",NA,NA,"0","0",NA,"4","4","0","1",NA,"-1","0","1","2","1","0",NA,NA,"0","0","8","9"
"M2 [Deliveries]","2.1.3","Number of mothers paid JSY incentive for deliveries conducted at home","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M2 [Deliveries]","2.2","Deliveries conducted at Public Institutions (Including C-Sections)","TOTAL","154","3610","3589","-21","0","4112","5279","1167","0","4391","3910","-481","0","4781","3768","-1013","0","4873","3840","-1033","0","4695","8064","3369","0","4442","4142","-300","0","4723","4847","124","0","4578","5105","527","0","4581","5096","515","0","4506","4708","202","0","4661","4428","-233","0","53953","56776"
"M2 [Deliveries]","2.2.1","Out of 2.2, Number discharged under 48 hours of delivery","TOTAL","154","2525","1994","-531","0","3212","1626","-1586","0","3280","1188","-2092","0","3435","974","-2461","0","3926","2605","-1321","0","3523",NA,"-3523","0","3018","2639","-379","0","3346","915","-2431","0","3292","863","-2429","0","3096","912","-2184","0","3070","912","-2158","0","3171","967","-2204","0","38894","15595"
"M2 [Deliveries]","2.2.2.a","Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions","TOTAL","154","755",NA,"-755","0","1357",NA,"-1357","0","810","227","-583","0","762","260","-502","0","643","1984","1341","0","302",NA,"-302","0","1008","1291","283","0","1168",NA,"-1168","0","1752",NA,"-1752","0","1676",NA,"-1676","0","978",NA,"-978","0","2397","168","-2229","0","13608","3930"
"M2 [Deliveries]","2.2.2.b","Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,"34","34","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"27","27","0",NA,"61"
"M2 [Deliveries]","2.2.2.c","Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)]","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,"3","3","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"3"
"M2 [Deliveries]","2.3","Deliveries conducted at Private Institutions (Including C-Sections)","TOTAL","154","3095","2922","-173","0","2618","984","-1634","0","2586","1249","-1337","0","2237","1429","-808","0","2287","1608","-679","0","2266","1402","-864","0","3103","1630","-1473","0","2472","1752","-720","0","2781","1471","-1310","0","2581","334","-2247","0","1930","1163","-767","0","2848","1623","-1225","0","30804","17567"
"M2 [Deliveries]","2.3.1.a","Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M2 [Deliveries]","2.3.1.b","Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M2 [Deliveries]","2.3.1.c","Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)]","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M3 [Number of Caesarean C-Section deliveries performed at]","3.1.1","Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre)","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M3 [Number of Caesarean C-Section deliveries performed at]","3.1.2","Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre)","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M3 [Number of Caesarean C-Section deliveries performed at]","3.1.3","Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital)","TOTAL","154","1085","1161","76","0","900","1013","113","0","1111","1262","151","0","1346","927","-419","0","947","1235","288","0","1172","1944","772","0","1424","1503","79","0","1377","1436","59","0","1286","1488","202","0","1485","1363","-122","0","1436","1486","50","0","1490","1468","-22","0","15059","16286"
"M3 [Number of Caesarean C-Section deliveries performed at]","3.1.4","Number of Caesarean (C-Section) deliveries performed at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M3 [Number of Caesarean C-Section deliveries performed at]","3.1.5","Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)","TOTAL","154","1085","1161","76","0","900","1013","113","0","1111","1262","151","0","1346","927","-419","0","947","1235","288","0","1172","1944","772","0","1424","1503","79","0","1377","1436","59","0","1286","1488","202","0","1485","1363","-122","0","1436","1486","50","0","1490","1468","-22","0","15059","16286"
"M3 [Number of Caesarean C-Section deliveries performed at]","3.2","No. of C-section deliveries performed at Private facilities","TOTAL","154","879","848","-31","0","758","795","37","0","836","786","-50","0","820","741","-79","0","897","729","-168","0","843","627","-216","0","874","680","-194","0","911","1003","92","0","836","760","-76","0","858","183","-675","0","818","698","-120","0","973","796","-177","0","10303","8646"
"M4 [Pregnancy outcome & weight of new-born]","4.1.1.a","Number of male live births","TOTAL","154","3482","3417","-65","0","3443","3247","-196","0","3612","2671","-941","0","3658","2539","-1119","0","3740","2842","-898","0","3572","4740","1168","0","3840","2986","-854","0","3724","3360","-364","0","3792","3346","-446","0","3665","2746","-919","0","3412","2967","-445","0","3853","3110","-743","0","43793","37971"
"M4 [Pregnancy outcome & weight of new-born]","4.1.1.b","Number of female live births","TOTAL","154","3230","3091","-139","0","3287","3009","-278","0","3365","2434","-931","0","3361","2590","-771","0","3420","2550","-870","0","3384","4625","1241","0","3706","2688","-1018","0","3471","3155","-316","0","3569","3148","-421","0","3500","2579","-921","0","3026","2797","-229","0","3657","2849","-808","0","40976","35515"
"M4 [Pregnancy outcome & weight of new-born]","4.1.1.c","Total number of male and female live births (4.1.1.a and 4.1.1.b)","TOTAL","154","6712","6508","-204","0","6730","6256","-474","0","6977","5105","-1872","0","7019","5129","-1890","0","7160","5392","-1768","0","6956","9365","2409","0","7546","5674","-1872","0","7195","6515","-680","0","7361","6494","-867","0","7165","5325","-1840","0","6438","5764","-674","0","7510","5959","-1551","0","84769","73486"
"M4 [Pregnancy outcome & weight of new-born]","4.1.2","Number of still births","TOTAL","154","1","7","6","0",NA,"8","8","0",NA,"56","56","0","2","70","68","0","5","58","53","0","8","94","86","0","1","98","97","0","2","83","81","0","2","86","84","0","4","105","101","0","3","109","106","0","7","92","85","0","35","866"
"M4 [Pregnancy outcome & weight of new-born]","4.1.3","Number of Abortions (spontaneous or induced)","TOTAL","154","80","14","-66","0","1587","22","-1565","0","197","13","-184","0",NA,"12","12","0","173",NA,"-173","0","181",NA,"-181","0","168","230","62","0","179","19","-160","0","158","9","-149","0","178","12","-166","0","153","90","-63","0","157","36","-121","0","3211","457"
"M4 [Pregnancy outcome & weight of new-born]","4.2.1","Number of Newborns weighed at birth","TOTAL","154","6705","6511","-194","0","6730","6255","-475","0","6977","5103","-1874","0","7018","5127","-1891","0","7160","5390","-1770","0","6956","9364","2408","0","7545","5674","-1871","0","7195","6516","-679","0","7359","6490","-869","0","7162","4617","-2545","0","6436","5762","-674","0","7509","5959","-1550","0","84752","72768"
"M4 [Pregnancy outcome & weight of new-born]","4.2.2","Number of Newborns having weight less than 2.5 kg","TOTAL","154","173","185","12","0","196","227","31","0","127","136","9","0","211","345","134","0","247","78","-169","0","275","118","-157","0","272","98","-174","0","198","289","91","0","234","327","93","0","176","330","154","0","561","343","-218","0","227","254","27","0","2897","2730"
"M4 [Pregnancy outcome & weight of new-born]","4.3","Number of Newborns breast fed within 1 hour of birth","TOTAL","154","4748","4506","-242","0","5072","4448","-624","0","5030","4475","-555","0","4853","3461","-1392","0","5316","3428","-1888","0","4949","6794","1845","0","4442","3491","-951","0","4907","3994","-913","0","5237","4332","-905","0","4822","3259","-1563","0","4184","3600","-584","0","5047","3695","-1352","0","58607","49483"
"M5 [Complicated pregnanices]","5.1.1","Number of cases of pregnant women with Obstetric Complications and attended at PHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"2","2","0",NA,"2"
"M5 [Complicated pregnanices]","5.1.2","Number of cases of pregnant women with Obstetric Complications and attended at CHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M5 [Complicated pregnanices]","5.1.3","Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs","TOTAL","154","44","27","-17","0","38","50","12","0","18","50","32","0","24","76","52","0","60","107","47","0","42","29","-13","0","53","24","-29","0","43","26","-17","0","53","32","-21","0","25","500","475","0","52","100","48","0","7","84","77","0","459","1105"
"M5 [Complicated pregnanices]","5.1.4","Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M5 [Complicated pregnanices]","5.1.5","Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)","TOTAL","154","44","27","-17","0","38","50","12","0","18","50","32","0","24","76","52","0","60","107","47","0","42","29","-13","0","53","24","-29","0","43","26","-17","0","53","32","-21","0","25","500","475","0","52","100","48","0","7","86","79","0","459","1107"
"M5 [Complicated pregnanices]","5.2","Number of cases of pregnant women with Obstetric Complications and attended at Private facilities","TOTAL","154",NA,NA,"0","0","3",NA,"-3","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","14",NA,"-14","0","10",NA,"-10","0",NA,NA,"0","0",NA,NA,"0","0","27",NA
"M5 [Complicated pregnanices]","5.3.1","Number of cases of complicated pregnancies treated with IV antibiotics","TOTAL","154","40","27","-13","0","38","50","12","0","10","50","40","0","21","76","55","0","42",NA,"-42","0","40","29","-11","0","45","24","-21","0","36","26","-10","0","65","32","-33","0","30","301","271","0","52","100","48","0","7","82","75","0","426","797"
"M5 [Complicated pregnanices]","5.3.2","Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"259","259","0",NA,NA,"0","0",NA,NA,"0","0",NA,"259"
"M5 [Complicated pregnanices]","5.3.3","Number of cases of complicated pregnancies treated with IV Oxytocis","TOTAL","154","4",NA,"-4","0","3",NA,"-3","0","8",NA,"-8","0","3",NA,"-3","0","18",NA,"-18","0","2",NA,"-2","0","8",NA,"-8","0","7",NA,"-7","0","2",NA,"-2","0","5","33","28","0",NA,NA,"0","0",NA,"2","2","0","60","35"
"M5 [Complicated pregnanices]","5.3.4","Number of cases of complicated pregnancies treated with Blood Transfusion","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"128","128","0",NA,NA,"0","0",NA,NA,"0","0",NA,"128"
"M6 [Post - Natal Care]","6.1","Women getting post partum check-up within 48 hours after delivery","TOTAL","154","6705","6511","-194","0","6730","6263","-467","0","6977","5103","-1874","0","7019","5127","-1892","0","7161","5448","-1713","0","6962","9364","2402","0","7545","5674","-1871","0","7195","6516","-679","0","7359","6576","-783","0","7163","3887","-3276","0","6436","587","-5849","0","7509","6051","-1458","0","84761","67107"
"M6 [Post - Natal Care]","6.2","Women getting a post partum check up between 48 hours and 14 days after delivery","TOTAL","154","7","4","-3","0",NA,"1","1","0",NA,"2","2","0",NA,"2","2","0","2","2","0","0","1","1","0","0","1",NA,"-1","0",NA,NA,"0","0","2","4","2","0","2","1543","1541","0","2",NA,"-2","0","1",NA,"-1","0","18","1559"
"M6 [Post - Natal Care]","6.3","PNC maternal complications attended","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M7 [Medical Termination of Pregnancy (MTP)]","7.1.1","Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy","TOTAL","154","9","60","51","0","48","104","56","0","54","76","22","0",NA,"77","77","0","46","53","7","0","102","127","25","0","41","126","85","0","76","105","29","0","104","128","24","0","55","115","60","0","67","108","41","0","102","129","27","0","704","1208"
"M7 [Medical Termination of Pregnancy (MTP)]","7.1.2","Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy","TOTAL","154","10","101","91","0","168","40","-128","0","66","56","-10","0",NA,"35","35","0","56","56","0","0","62","89","27","0","71","67","-4","0","24","50","26","0","45","47","2","0","53","31","-22","0","28","25","-3","0","44","37","-7","0","627","634"
"M7 [Medical Termination of Pregnancy (MTP)]","7.1.3","Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2)","TOTAL","154","19","161","142","0","216","144","-72","0","120","132","12","0",NA,"112","112","0","102","109","7","0","164","216","52","0","112","193","81","0","100","155","55","0","149","175","26","0","108","146","38","0","95","133","38","0","146","166","20","0","1331","1842"
"M7 [Medical Termination of Pregnancy (MTP)]","7.2","Number of MTPs conducted at Private Facilities","TOTAL","154","61","4","-57","0","19","3","-16","0","77","3","-74","0","50","3","-47","0","71","3","-68","0","17","10","-7","0","56","37","-19","0","79","9","-70","0","9","24","15","0","70","1","-69","0","58","28","-30","0","11","42","31","0","578","167"
"M8 [RTI/STI Cases]","8.1.a","Number of new cases of RTI/STI in males for which treatment was initiated","TOTAL","154","62","125","63","0","66","415","349","0","559","150","-409","0","539","210","-329","0","490","503","13","0","617","130","-487","0","518","256","-262","0","518","57","-461","0","618","517","-101","0","218","113","-105","0","167","146","-21","0","146","126","-20","0","4518","2748"
"M8 [RTI/STI Cases]","8.1.b","Number of new cases of RTI/STI in females for which treatment was initiated","TOTAL","154","255","449","194","0","363","729","366","0","1094","434","-660","0","854","373","-481","0","957","577","-380","0","970","255","-715","0","968","514","-454","0","1052","279","-773","0","1011","218","-793","0","550","257","-293","0","517","265","-252","0","470","264","-206","0","9061","4614"
"M8 [RTI/STI Cases]","8.1.c","Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b)","TOTAL","154","317","574","257","0","429","1144","715","0","1653","584","-1069","0","1393","583","-810","0","1447","1080","-367","0","1587","385","-1202","0","1486","770","-716","0","1570","336","-1234","0","1629","735","-894","0","768","370","-398","0","684","411","-273","0","616","390","-226","0","13579","7362"
"M8 [RTI/STI Cases]","8.2","Number of suspected RTI/STI cases for whom wet mount test was conducted","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"13","13","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"257","257","0",NA,NA,"0","0",NA,NA,"0","0",NA,"270"
"M9 [Family Planning]","9.1.1.a","Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs","TOTAL","154","3","3","0","0","2",NA,"-2","0","8","1","-7","0","2","2","0","0","1",NA,"-1","0","3","8","5","0",NA,"1","1","0","7","2","-5","0","2","11","9","0","4","13","9","0","2","3","1","0",NA,"12","12","0","34","56"
"M9 [Family Planning]","9.1.1.b","Number of NSV or Conventional Vasectomy conducted at CHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.1.1.c","Number of NSV or Conventional Vasectomy conducted at SDHs or DHs","TOTAL","154","12","20","8","0","9","22","13","0","34","14","-20","0","9","8","-1","0","10","14","4","0","21","5","-16","0","5","7","2","0","17","3","-14","0","17","11","-6","0","13","13","0","0","12","10","-2","0","32","14","-18","0","191","141"
"M9 [Family Planning]","9.1.1.d","Number of NSV or Conventional Vasectomy conducted at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.1.1.e","Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)","TOTAL","154","15","23","8","0","11","22","11","0","42","15","-27","0","11","10","-1","0","11","14","3","0","24","13","-11","0","5","8","3","0","24","5","-19","0","19","22","3","0","17","26","9","0","14","13","-1","0","32","26","-6","0","225","197"
"M9 [Family Planning]","9.1.2","Number of NSV or Conventional Vasectomy conducted at Private facilities","TOTAL","154","5","7","2","0","9","12","3","0","30","16","-14","0","4","10","6","0","14","18","4","0","5","15","10","0","10","10","0","0","20","10","-10","0","13","47","34","0","16","5","-11","0","17","11","-6","0","13","17","4","0","156","178"
"M9 [Family Planning]","9.2.1.a","Number of Laparoscopic sterilizations conducted at PHCs","TOTAL","154","385","168","-217","0","315","547","232","0","323","250","-73","0","326","195","-131","0","234","109","-125","0","208","248","40","0","23","151","128","0","482","295","-187","0","307","375","68","0","326","258","-68","0","267","344","77","0","379","313","-66","0","3575","3253"
